filename,count,bit
out-0.0000005-0.2--006.7,25165753,1
out-0.0000005-0.2--006.8,31,0
out-0.0000005-0.2--006.8,25165753,1
out-0.0000005-0.2--006.9,32,0
out-0.0000005-0.2--006.9,25165752,1
out-0.0000005-0.2--007.0,32,0
out-0.0000005-0.2--007.0,25165752,1
out-0.0000005-0.2--007.1,32,0
out-0.0000005-0.2--007.1,25165752,1
out-0.0000005-0.2--007.2,32,0
out-0.0000005-0.2--007.2,25165752,1
out-0.0000005-0.2--007.3,32,0
out-0.0000005-0.2--007.3,25165752,1
out-0.0000005-0.2--007.4,32,0
out-0.0000005-0.2--007.4,25165752,1
out-0.0000005-0.2--007.5,32,0
out-0.0000005-0.2--007.5,25165752,1
out-0.0000005-0.2--007.6,32,0
out-0.0000005-0.2--007.6,25165752,1
out-0.0000005-0.2--007.7,32,0
out-0.0000005-0.2--007.7,25165752,1
out-0.0000005-0.2--007.8,32,0
out-0.0000005-0.2--007.8,25165752,1
out-0.0000005-0.2--007.9,32,0
out-0.0000005-0.2--007.9,25165752,1
out-0.0000005-0.2--008.0,32,0
out-0.0000005-0.2--008.0,25165752,1
out-0.0000005-0.2--008.1,32,0
out-0.0000005-0.2--008.1,25165752,1
out-0.0000005-0.2--008.2,32,0
out-0.0000005-0.2--008.2,25165752,1
out-0.0000005-0.2--008.3,32,0
out-0.0000005-0.2--008.3,25165752,1
out-0.0000005-0.2--008.4,32,0
out-0.0000005-0.2--008.4,25165752,1
out-0.0000005-0.2--008.5,32,0
out-0.0000005-0.2--008.5,25165752,1
out-0.0000005-0.2--008.6,32,0
out-0.0000005-0.2--008.6,25165752,1
out-0.0000005-0.2--008.7,29,0
out-0.0000005-0.2--008.7,25165755,1
out-0.0000005-0.2--008.8,29,0
out-0.0000005-0.2--008.8,25165755,1
out-0.0000005-0.2--008.9,29,0
out-0.0000005-0.2--008.9,25165755,1
out-0.0000005-0.2--009.0,29,0
out-0.0000005-0.2--009.0,25165755,1
out-0.0000005-0.2--009.1,29,0
out-0.0000005-0.2--009.1,25165755,1
out-0.0000005-0.2--009.2,29,0
out-0.0000005-0.2--009.2,25165755,1
out-0.0000005-0.2--009.3,29,0
out-0.0000005-0.2--009.3,25165755,1
out-0.0000005-0.2--009.4,29,0
out-0.0000005-0.2--009.4,25165755,1
out-0.0000005-0.2--009.5,29,0
out-0.0000005-0.2--009.5,25165755,1
out-0.0000005-0.2--009.6,29,0
out-0.0000005-0.2--009.6,25165755,1
out-0.0000005-0.2--009.7,29,0
out-0.0000005-0.2--009.7,25165755,1
out-0.0000005-0.2--009.8,29,0
out-0.0000005-0.2--009.8,25165755,1
out-0.0000005-0.2--009.9,29,0
out-0.0000005-0.2--009.9,25165755,1
out-0.0000005-0.2--010.0,29,0
out-0.0000005-0.2--010.0,25165755,1
out-0.0000005-0.2--010.1,29,0
out-0.0000005-0.2--010.1,25165755,1
out-0.0000005-0.2--010.2,29,0
out-0.0000005-0.2--010.2,25165755,1
out-0.0000005-0.2--010.3,29,0
out-0.0000005-0.2--010.3,25165755,1
out-0.0000005-0.2--010.4,29,0
out-0.0000005-0.2--010.4,25165755,1
out-0.0000005-0.2--010.5,30,0
out-0.0000005-0.2--010.5,25165754,1
out-0.0000005-0.2--010.6,30,0
out-0.0000005-0.2--010.6,25165754,1
out-0.0000005-0.2--010.7,30,0
out-0.0000005-0.2--010.7,25165754,1
out-0.0000005-0.2--010.8,30,0
out-0.0000005-0.2--010.8,25165754,1
out-0.0000005-0.2--010.9,30,0
out-0.0000005-0.2--010.9,25165754,1
out-0.0000005-0.2--011.0,30,0
out-0.0000005-0.2--011.0,25165754,1
out-0.0000005-0.2--011.1,30,0
out-0.0000005-0.2--011.1,25165754,1
out-0.0000005-0.2--011.2,30,0
out-0.0000005-0.2--011.2,25165754,1
out-0.0000005-0.2--011.3,30,0
out-0.0000005-0.2--011.3,25165754,1
out-0.0000005-0.2--011.4,30,0
out-0.0000005-0.2--011.4,25165754,1
out-0.0000005-0.2--011.5,30,0
out-0.0000005-0.2--011.5,25165754,1
out-0.0000005-0.2--011.6,30,0
out-0.0000005-0.2--011.6,25165754,1
out-0.0000005-0.2--011.7,30,0
out-0.0000005-0.2--011.7,25165754,1
out-0.0000005-0.2--011.8,30,0
out-0.0000005-0.2--011.8,25165754,1
out-0.0000005-0.2--011.9,30,0
out-0.0000005-0.2--011.9,25165754,1
out-0.0000005-0.2--012.0,27,0
out-0.0000005-0.2--012.0,25165757,1
out-0.0000005-0.2--012.1,27,0
out-0.0000005-0.2--012.1,25165757,1
out-0.0000005-0.2--012.2,27,0
out-0.0000005-0.2--012.2,25165757,1
out-0.0000005-0.2--012.3,27,0
out-0.0000005-0.2--012.3,25165757,1
out-0.0000005-0.2--012.4,27,0
out-0.0000005-0.2--012.4,25165757,1
out-0.0000005-0.2--012.5,30,0
out-0.0000005-0.2--012.5,25165754,1
out-0.0000005-0.2--012.6,27,0
out-0.0000005-0.2--012.6,25165757,1
out-0.0000005-0.2--012.7,27,0
out-0.0000005-0.2--012.7,25165757,1
out-0.0000005-0.2--012.8,27,0
out-0.0000005-0.2--012.8,25165757,1
out-0.0000005-0.2--012.9,27,0
out-0.0000005-0.2--012.9,25165757,1
out-0.0000005-0.2--013.0,30,0
out-0.0000005-0.2--013.0,25165754,1
out-0.0000005-0.2--013.1,30,0
out-0.0000005-0.2--013.1,25165754,1
out-0.0000005-0.2--013.2,30,0
out-0.0000005-0.2--013.2,25165754,1
out-0.0000005-0.2--013.3,30,0
out-0.0000005-0.2--013.3,25165754,1
out-0.0000005-0.2--013.4,30,0
out-0.0000005-0.2--013.4,25165754,1
out-0.0000005-0.2--013.5,30,0
out-0.0000005-0.2--013.5,25165754,1
out-0.0000005-0.2--013.6,30,0
out-0.0000005-0.2--013.6,25165754,1
out-0.0000005-0.2--013.7,30,0
out-0.0000005-0.2--013.7,25165754,1
out-0.0000005-0.2--013.8,30,0
out-0.0000005-0.2--013.8,25165754,1
out-0.0000005-0.2--013.9,30,0
out-0.0000005-0.2--013.9,25165754,1
out-0.0000005-0.2--014.0,30,0
out-0.0000005-0.2--014.0,25165754,1
out-0.0000005-0.2--014.1,30,0
out-0.0000005-0.2--014.1,25165754,1
out-0.0000005-0.2--014.2,30,0
out-0.0000005-0.2--014.2,25165754,1
out-0.0000005-0.2--014.3,30,0
out-0.0000005-0.2--014.3,25165754,1
out-0.0000005-0.2--014.4,30,0
out-0.0000005-0.2--014.4,25165754,1
out-0.0000005-0.2--014.5,30,0
out-0.0000005-0.2--014.5,25165754,1
out-0.0000005-0.2--014.6,30,0
out-0.0000005-0.2--014.6,25165754,1
out-0.0000005-0.2--014.7,30,0
out-0.0000005-0.2--014.7,25165754,1
out-0.0000005-0.2--014.8,30,0
out-0.0000005-0.2--014.8,25165754,1
out-0.0000005-0.2--014.9,30,0
out-0.0000005-0.2--014.9,25165754,1
out-0.0000005-0.2--015.0,30,0
